"","Index","Wortlaut"
"955","HGB § 314 (2)"," Mutterunternehmen, die den Konzernabschluss um eine Segmentberichterstattung erweitern (§ 297 Abs. 1 Satz 2), sind von der Angabepflicht gemäß Absatz 1 Nr. 3 befreit."
"956","HGB § 314 (3)"," Für die Angabepflicht gemäß Absatz 1 Nummer 6 Buchstabe a und b gilt § 286 Absatz 4 entsprechend.
"
"957","HGB NA ","Neunter TitelKonzernlagebericht"
"958","HGB § 315 ","§ 315Inhalt des Konzernlageberichts
"
"959","HGB § 315 (1)"," Im Konzernlagebericht sind der Geschäftsverlauf einschließlich des Geschäftsergebnisses und die Lage des Konzerns so darzustellen, dass ein den tatsächlichen Verhältnissen entsprechendes Bild vermittelt wird. Er hat eine ausgewogene und umfassende, dem Umfang und der Komplexität der Geschäftstätigkeit entsprechende Analyse des Geschäftsverlaufs und der Lage des Konzerns zu enthalten. In die Analyse sind die für die Geschäftstätigkeit bedeutsamsten finanziellen Leistungsindikatoren einzubeziehen und unter Bezugnahme auf die im Konzernabschluss ausgewiesenen Beträge und Angaben zu erläutern. Ferner ist im Konzernlagebericht die voraussichtliche Entwicklung mit ihren wesentlichen Chancen und Risiken zu beurteilen und zu erläutern; zugrunde liegende Annahmen sind anzugeben. Die Mitglieder des vertretungsberechtigten Organs eines Mutterunternehmens, das als Inlandsemittent (§ 2 Absatz 14 des Wertpapierhandelsgesetzes) Wertpapiere (§ 2 Absatz 1 des Wertpapierhandelsgesetzes) begibt und keine Kapitalgesellschaft im Sinne des § 327a ist, haben in einer dem Konzernlagebericht beizufügenden schriftlichen Erklärung zu versichern, dass im Konzernlagebericht nach bestem Wissen der Geschäftsverlauf einschließlich des Geschäftsergebnisses und die Lage des Konzerns so dargestellt sind, dass ein den tatsächlichen Verhältnissen entsprechendes Bild vermittelt wird und dass die wesentlichen Chancen und Risiken im Sinne des Satzes 4 beschrieben sind."
"960","HGB § 315 (2)"," Im Konzernlagebericht ist auch einzugehen auf:1.a)die Risikomanagementziele und -methoden des Konzerns einschließlich seiner Methoden zur Absicherung aller wichtigen Arten von Transaktionen, die im Rahmen der Bilanzierung von Sicherungsgeschäften erfasst werden, sowieb)die Preisänderungs-, Ausfall- und Liquiditätsrisiken sowie die Risiken aus Zahlungsstromschwankungen, denen der Konzern ausgesetzt ist,jeweils in Bezug auf die Verwendung von Finanzinstrumenten durch den Konzern und sofern dies für die Beurteilung der Lage oder der voraussichtlichen Entwicklung von Belang ist;2.den Bereich Forschung und Entwicklung des Konzerns und3.für das Verständnis der Lage des Konzerns wesentliche Zweigniederlassungen der insgesamt in den Konzernabschluss einbezogenen Unternehmen.Ist das Mutterunternehmen eine Aktiengesellschaft, hat es im Konzernlagebericht auf die nach § 160 Absatz 1 Nummer 2 des Aktiengesetzes im Anhang zu machenden Angaben zu verweisen."
"961","HGB § 315 (3)"," Absatz 1 Satz 3 gilt entsprechend für nichtfinanzielle Leistungsindikatoren, wie Informationen über Umwelt- und Arbeitnehmerbelange, soweit sie für das Verständnis des Geschäftsverlaufs oder der Lage des Konzerns von Bedeutung sind."
"962","HGB § 315 (4)"," Ist das Mutterunternehmen oder ein in den Konzernabschluss einbezogenes Tochterunternehmen kapitalmarktorientiert im Sinne des § 264d, ist im Konzernlagebericht auch auf die wesentlichen Merkmale des internen Kontroll- und Risikomanagementsystems im Hinblick auf den Konzernrechnungslegungsprozess einzugehen."
"963","HGB § 315 (5)"," § 298 Absatz 2 über die Zusammenfassung von Konzernanhang und Anhang ist entsprechend anzuwenden.
"
"964","HGB § 315a ","§ 315aErgänzende Vorschriften für bestimmte Aktiengesellschaften und Kommanditgesellschaften auf Aktien
Mutterunternehmen (§ 290), die einen organisierten Markt im Sinne des § 2 Absatz 7 des Wertpapiererwerbs- und Übernahmegesetzes durch von ihnen ausgegebene stimmberechtigte Aktien in Anspruch nehmen, haben im Konzernlagebericht außerdem anzugeben: 1.die Zusammensetzung des gezeichneten Kapitals unter gesondertem Ausweis der mit jeder Gattung verbundenen Rechte und Pflichten und des Anteils am Gesellschaftskapital;2.Beschränkungen, die Stimmrechte oder die Übertragung von Aktien betreffen, auch wenn sie sich aus Vereinbarungen zwischen Gesellschaftern ergeben können, soweit die Beschränkungen dem Vorstand der Gesellschaft bekannt sind;3.direkte oder indirekte Beteiligungen am Kapital, die 10 Prozent der Stimmrechte überschreiten;4.die Inhaber von Aktien mit Sonderrechten, die Kontrollbefugnisse verleihen, und eine Beschreibung dieser Sonderrechte;5.die Art der Stimmrechtskontrolle, wenn Arbeitnehmer am Kapital beteiligt sind und ihre Kontrollrechte nicht unmittelbar ausüben;6.die gesetzlichen Vorschriften und Bestimmungen der Satzung über die Ernennung und Abberufung der Mitglieder des Vorstands und über die Änderung der Satzung;7.die Befugnisse des Vorstands insbesondere hinsichtlich der Möglichkeit, Aktien auszugeben oder zurückzukaufen;8.wesentliche Vereinbarungen des Mutterunternehmens, die unter der Bedingung eines Kontrollwechsels infolge eines Übernahmeangebots stehen, und die hieraus folgenden Wirkungen;9.Entschädigungsvereinbarungen des Mutterunternehmens, die für den Fall eines Übernahmeangebots mit den Mitgliedern des Vorstands oder mit Arbeitnehmern getroffen sind.Die Angaben nach Satz 1 Nummer 1, 3 und 9 können unterbleiben, soweit sie im Konzernanhang zu machen sind. Sind Angaben nach Satz 1 im Konzernanhang zu machen, ist im Konzernlagebericht darauf zu verweisen. Die Angaben nach Satz 1 Nummer 8 können unterbleiben, soweit sie geeignet sind, dem Mutterunternehmen einen erheblichen Nachteil zuzufügen; die Angabepflicht nach anderen gesetzlichen Vorschriften bleibt unberührt."
"965","HGB § 315b ","§ 315bPflicht zur nichtfinanziellen Konzernerklärung; Befreiungen
"
"966","HGB § 315b (1)"," Eine Kapitalgesellschaft, die Mutterunternehmen (§ 290) ist, hat ihren Konzernlagebericht um eine nichtfinanzielle Konzernerklärung zu erweitern, wenn die folgenden Merkmale erfüllt sind: 1.die Kapitalgesellschaft ist kapitalmarktorientiert im Sinne des § 264d,2.für die in den Konzernabschluss einzubeziehenden Unternehmen gilt: a)sie erfüllen die in § 293 Absatz 1 Satz 1 Nummer 1 oder 2 geregelten Voraussetzungen für eine größenabhängige Befreiung nicht undb)bei ihnen sind insgesamt im Jahresdurchschnitt mehr als 500 Arbeitnehmer beschäftigt.§ 267 Absatz 4 bis 5 sowie § 298 Absatz 2 sind entsprechend anzuwenden. Wenn die nichtfinanzielle Konzernerklärung einen besonderen Abschnitt des Konzernlageberichts bildet, darf die Kapitalgesellschaft auf die an anderer Stelle im Konzernlagebericht enthaltenen nichtfinanziellen Angaben verweisen."
"967","HGB § 315b (2)"," Ein Mutterunternehmen im Sinne des Absatzes 1 ist unbeschadet anderer Befreiungsvorschriften von der Pflicht zur Erweiterung des Konzernlageberichts um eine nichtfinanzielle Konzernerklärung befreit, wenn 1.das Mutterunternehmen zugleich ein Tochterunternehmen ist, das in den Konzernlagebericht eines anderen Mutterunternehmens einbezogen ist, und2.der Konzernlagebericht nach Nummer 1 nach Maßgabe des nationalen Rechts eines Mitgliedstaats der Europäischen Union oder eines anderen Vertragsstaats des Abkommens über den Europäischen Wirtschaftsraum im Einklang mit der Richtlinie 2013/34/EU aufgestellt wird und eine nichtfinanzielle Konzernerklärung enthält.Satz 1 gilt entsprechend, wenn das andere Mutterunternehmen im Sinne des Satzes 1 einen gesonderten nichtfinanziellen Konzernbericht nach Absatz 3 oder nach Maßgabe des nationalen Rechts eines Mitgliedstaats der Europäischen Union oder eines anderen Vertragsstaats des Abkommens über den Europäischen Wirtschaftsraum im Einklang mit der Richtlinie 2013/34/EU erstellt und öffentlich zugänglich macht. Ist ein Mutterunternehmen nach Satz 1 oder 2 von der Pflicht zur Erstellung einer nichtfinanziellen Konzernerklärung befreit, hat es dies in seinem Konzernlagebericht mit der Erläuterung anzugeben, welches andere Mutterunternehmen den Konzernlagebericht oder den gesonderten nichtfinanziellen Konzernbericht öffentlich zugänglich macht und wo der Bericht in deutscher oder englischer Sprache offengelegt oder veröffentlicht ist."
"968","HGB § 315b (3)"," Ein Mutterunternehmen im Sinne des Absatzes 1 ist auch dann von der Pflicht zur Erweiterung des Konzernlageberichts um eine nichtfinanzielle Konzernerklärung befreit, wenn das Mutterunternehmen für dasselbe Geschäftsjahr einen gesonderten nichtfinanziellen Konzernbericht außerhalb des Konzernlageberichts erstellt und folgende Voraussetzungen erfüllt: 1.der gesonderte nichtfinanzielle Konzernbericht erfüllt zumindest die inhaltlichen Vorgaben nach § 315c in Verbindung mit § 289c und2.das Mutterunternehmen macht den gesonderten nichtfinanziellen Konzernbericht öffentlich zugänglich durch a)Offenlegung zusammen mit dem Konzernlagebericht nach § 325 oderb)Veröffentlichung auf der Internetseite des Mutterunternehmens spätestens vier Monate nach dem Abschlussstichtag und mindestens für zehn Jahre, sofern der Konzernlagebericht auf diese Veröffentlichung unter Angabe der Internetseite Bezug nimmt.Absatz 1 Satz 3, die §§ 289d und 289e sowie § 298 Absatz 2 sind auf den gesonderten nichtfinanziellen Konzernbericht entsprechend anzuwenden."
"969","HGB § 315b (4)"," Ist die nichtfinanzielle Konzernerklärung oder der gesonderte nichtfinanzielle Konzernbericht inhaltlich überprüft worden, ist auch die Beurteilung des Prüfungsergebnisses in gleicher Weise wie die nichtfinanzielle Konzernerklärung oder der gesonderte nichtfinanzielle Konzernbericht öffentlich zugänglich zu machen."
"970","HGB § 315c ","§ 315cInhalt der nichtfinanziellen Konzernerklärung
"
"971","HGB § 315c (1)"," Auf den Inhalt der nichtfinanziellen Konzernerklärung ist § 289c entsprechend anzuwenden."
"972","HGB § 315c (2)"," § 289c Absatz 3 gilt mit der Maßgabe, dass diejenigen Angaben zu machen sind, die für das Verständnis des Geschäftsverlaufs, des Geschäftsergebnisses, der Lage des Konzerns sowie der Auswirkungen seiner Tätigkeit auf die in § 289c Absatz 2 genannten Aspekte erforderlich sind."
"973","HGB § 315c (3)"," Die §§ 289d und 289e sind entsprechend anzuwenden."
"974","HGB § 315d ","§ 315dKonzernerklärung zur Unternehmensführung
Ein Mutterunternehmen, das eine Gesellschaft im Sinne des § 289f Absatz 1 oder Absatz 3 ist, hat für den Konzern eine Erklärung zur Unternehmensführung zu erstellen und als gesonderten Abschnitt in den Konzernlagebericht aufzunehmen. § 289f ist entsprechend anzuwenden."
"975","HGB NA ","Zehnter TitelKonzernabschluss nach internationalen Rechnungslegungsstandards"
"976","HGB § 315e ","§ 315e
"
"977","HGB § 315e (1)"," Ist ein Mutterunternehmen, das nach den Vorschriften des Ersten Titels einen Konzernabschluss aufzustellen hat, nach Artikel 4 der Verordnung (EG) Nr. 1606/2002 des Europäischen Parlaments und des Rates vom 19. Juli 2002 betreffend die Anwendung internationaler Rechnungslegungsstandards (ABl. L 243 vom 11.9.2002, S. 1), die zuletzt durch die Verordnung (EG) Nr. 297/2008 (ABl. L 97 vom 9.4.2008, S. 62) geändert worden ist, verpflichtet, die nach den Artikeln 2, 3 und 6 der genannten Verordnung übernommenen internationalen Rechnungslegungsstandards anzuwenden, so sind von den Vorschriften des Zweiten bis Achten Titels nur § 294 Abs. 3, § 297 Absatz 1a, 2 Satz 4, § 298 Abs. 1, dieser jedoch nur in Verbindung mit den §§ 244 und 245, ferner § 313 Abs. 2 und 3, § 314 Abs. 1 Nr. 4, 6, 8 und 9, Absatz 3 sowie die Bestimmungen des Neunten Titels und die Vorschriften außerhalb dieses Unterabschnitts, die den Konzernabschluss oder den Konzernlagebericht betreffen, entsprechend anzuwenden."
"978","HGB § 315e (2)"," Mutterunternehmen, die nicht unter Absatz 1 fallen, haben ihren Konzernabschluss nach den dort genannten internationalen Rechnungslegungsstandards und Vorschriften aufzustellen, wenn für sie bis zum jeweiligen Bilanzstichtag die Zulassung eines Wertpapiers im Sinne des § 2 Absatz 1 des Wertpapierhandelsgesetzes zum Handel an einem organisierten Markt im Sinne des § 2 Absatz 11 des Wertpapierhandelsgesetzes im Inland beantragt worden ist."
"979","HGB § 315e (3)"," Mutterunternehmen, die nicht unter Absatz 1 oder 2 fallen, dürfen ihren Konzernabschluss nach den in Absatz 1 genannten internationalen Rechnungslegungsstandards und Vorschriften aufstellen. Ein Unternehmen, das von diesem Wahlrecht Gebrauch macht, hat die in Absatz 1 genannten Standards und Vorschriften vollständig zu befolgen."
"980","HGB NA ","Dritter UnterabschnittPrüfung"
"981","HGB § 316 ","§ 316Pflicht zur Prüfung
"
"982","HGB § 316 (1)"," Der Jahresabschluß und der Lagebericht von Kapitalgesellschaften, die nicht kleine im Sinne des § 267 Abs. 1 sind, sind durch einen Abschlußprüfer zu prüfen. Hat keine Prüfung stattgefunden, so kann der Jahresabschluß nicht festgestellt werden."
"983","HGB § 316 (2)"," Der Konzernabschluß und der Konzernlagebericht von Kapitalgesellschaften sind durch einen Abschlußprüfer zu prüfen. Hat keine Prüfung stattgefunden, so kann der Konzernabschluss nicht gebilligt werden."
"984","HGB § 316 (3)"," Werden der Jahresabschluß, der Konzernabschluß, der Lagebericht oder der Konzernlagebericht nach Vorlage des Prüfungsberichts geändert, so hat der Abschlußprüfer diese Unterlagen erneut zu prüfen, soweit es die Änderung erfordert. Über das Ergebnis der Prüfung ist zu berichten; der Bestätigungsvermerk ist entsprechend zu ergänzen. Die Sätze 1 und 2 gelten entsprechend für diejenige Wiedergabe des Jahresabschlusses, des Lageberichts, des Konzernabschlusses und des Konzernlageberichts, welche eine Kapitalgesellschaft, die als Inlandsemittent (§ 2 Absatz 14 des Wertpapierhandelsgesetzes) Wertpapiere (§ 2 Absatz 1 des Wertpapierhandelsgesetzes) begibt und keine Kapitalgesellschaft im Sinne des § 327a ist, für Zwecke der Offenlegung erstellt hat."
"985","HGB § 316a ","§ 316aAbschlussprüfung bei Unternehmen von öffentlichem Interesse
Auf die Abschlussprüfung bei Kapitalgesellschaften, die Unternehmen von öffentlichem Interesse sind, sind die Vorschriften dieses Unterabschnitts nur insoweit anzuwenden, als nicht die Verordnung (EU) Nr. 537/2014 des Europäischen Parlaments und des Rates vom 16. April 2014 über spezifische Anforderungen an die Abschlussprüfung bei Unternehmen von öffentlichem Interesse und zur Aufhebung des Beschlusses 2005/909/EG der Kommission (ABl. L 158 vom 27.5.2014, S. 77; L 170 vom 11.6.2014, S. 66) anzuwenden ist. Unternehmen von öffentlichem Interesse sind Unternehmen, die 1.kapitalmarktorientiert sind im Sinne des § 264d,2.CRR-Kreditinstitute sind im Sinne des § 1 Absatz 3d Satz 1 des Kreditwesengesetzes, mit Ausnahme derjenigen Institute, die in § 2 Absatz 1 Nummer 1 und 2 des Kreditwesengesetzes und in Artikel 2 Absatz 5 Nummer 5 der Richtlinie 2013/36/EU des Europäischen Parlaments und des Rates vom 26. Juni 2013 über den Zugang zur Tätigkeit von Kreditinstituten und die Beaufsichtigung von Kreditinstituten und Wertpapierfirmen, zur Änderung der Richtlinie 2002/87/EG und zur Aufhebung der Richtlinien 2006/48/EG und 2006/49/EG (ABl. L 176 vom 27.6.2013, S. 338; L 208 vom 2.8.2013, S. 73; L 20 vom 25.1.2017, S. 1; L 203 vom 26.6.2020, S. 95), die zuletzt durch die Richtlinie (EU) 2019/2034 (ABl. L 314 vom 5.12.2019, S. 64) geändert worden ist, genannt sind, oder3.Versicherungsunternehmen sind im Sinne des Artikels 2 Absatz 1 der Richtlinie 91/674/EWG."
"986","HGB § 317 ","§ 317Gegenstand und Umfang der Prüfung
"
"987","HGB § 317 (1)"," In die Prüfung des Jahresabschlusses ist die Buchführung einzubeziehen. Die Prüfung des Jahresabschlusses und des Konzernabschlusses hat sich darauf zu erstrecken, ob die gesetzlichen Vorschriften und sie ergänzende Bestimmungen des Gesellschaftsvertrags oder der Satzung beachtet worden sind. Die Prüfung ist so anzulegen, daß Unrichtigkeiten und Verstöße gegen die in Satz 2 aufgeführten Bestimmungen, die sich auf die Darstellung des sich nach § 264 Abs. 2 ergebenden Bildes der Vermögens-, Finanz- und Ertragslage der Kapitalgesellschaft wesentlich auswirken, bei gewissenhafter Berufsausübung erkannt werden."
"988","HGB § 317 (2)"," Der Lagebericht und der Konzernlagebericht sind darauf zu prüfen, ob der Lagebericht mit dem Jahresabschluß, gegebenenfalls auch mit dem Einzelabschluss nach § 325 Abs. 2a, und der Konzernlagebericht mit dem Konzernabschluß sowie mit den bei der Prüfung gewonnenen Erkenntnissen des Abschlußprüfers in Einklang stehen und ob der Lagebericht insgesamt ein zutreffendes Bild von der Lage der Kapitalgesellschaft und der Konzernlagebericht insgesamt ein zutreffendes Bild von der Lage des Konzerns vermittelt. Dabei ist auch zu prüfen, ob die Chancen und Risiken der künftigen Entwicklung zutreffend dargestellt sind. Die Prüfung des Lageberichts und des Konzernlageberichts hat sich auch darauf zu erstrecken, ob die gesetzlichen Vorschriften zur Aufstellung des Lage- oder Konzernlageberichts beachtet worden sind. Im Hinblick auf die Vorgaben nach den §§ 289b bis 289e und den §§ 315b und 315c ist nur zu prüfen, ob die nichtfinanzielle Erklärung oder der gesonderte nichtfinanzielle Bericht, die nichtfinanzielle Konzernerklärung oder der gesonderte nichtfinanzielle Konzernbericht vorgelegt wurde. Im Fall des § 289b Absatz 3 Satz 1 Nummer 2 Buchstabe b ist vier Monate nach dem Abschlussstichtag eine ergänzende Prüfung durch denselben Abschlussprüfer durchzuführen, ob der gesonderte nichtfinanzielle Bericht oder der gesonderte nichtfinanzielle Konzernbericht vorgelegt wurde; § 316 Absatz 3 Satz 2 gilt entsprechend mit der Maßgabe, dass der Bestätigungsvermerk nur dann zu ergänzen ist, wenn der gesonderte nichtfinanzielle Bericht oder der gesonderte nichtfinanzielle Konzernbericht nicht innerhalb von vier Monaten nach dem Abschlussstichtag vorgelegt worden ist. Die Prüfung der Angaben nach § 289f Absatz 2 und 5 sowie § 315d ist darauf zu beschränken, ob die Angaben gemacht wurden."
"989","HGB § 317 (3)"," Der Abschlußprüfer des Konzernabschlusses hat auch die im Konzernabschluß zusammengefaßten Jahresabschlüsse, insbesondere die konsolidierungsbedingten Anpassungen, in entsprechender Anwendung des Absatzes 1 zu prüfen. Sind diese Jahresabschlüsse von einem anderen Abschlussprüfer geprüft worden, hat der Konzernabschlussprüfer dessen Arbeit zu überprüfen und dies zu dokumentieren."
"990","HGB § 317 (3a)"," Bei einer Kapitalgesellschaft, die als Inlandsemittent (§ 2 Absatz 14 des Wertpapierhandelsgesetzes) Wertpapiere (§ 2 Absatz 1 des Wertpapierhandelsgesetzes) begibt und keine Kapitalgesellschaft im Sinne des § 327a ist, hat der Abschlussprüfer im Rahmen der Prüfung auch zu beurteilen, ob die für Zwecke der Offenlegung erstellte Wiedergabe des Jahresabschlusses und die für Zwecke der Offenlegung erstellte Wiedergabe des Lageberichts den Vorgaben des § 328 Absatz 1 entsprechen. Bei einer Kapitalgesellschaft im Sinne des Satzes 1 hat der Abschlussprüfer des Konzernabschlusses im Rahmen der Prüfung auch zu beurteilen, ob die für Zwecke der Offenlegung erstellte Wiedergabe des Konzernabschlusses und die für Zwecke der Offenlegung erstellte Wiedergabe des Konzernlageberichts den Vorgaben des § 328 Absatz 1 entsprechen."
"991","HGB § 317 (3b)"," Der Abschlussprüfer des Jahresabschlusses hat im Rahmen der Prüfung auch zu beurteilen, ob die Kapitalgesellschaft 1.für das Geschäftsjahr, das demjenigen Geschäftsjahr vorausging, für dessen Schluss der zu prüfende Jahresabschluss aufgestellt wird, zur Offenlegung eines Ertragsteuerinformationsberichts gemäß § 342m Absatz 1 oder 2 verpflichtet war und2.im Falle der Nummer 1 ihre dort genannte Verpflichtung zur Offenlegung erfüllt hat."
"992","HGB § 317 (4)"," Bei einer börsennotierten Aktiengesellschaft ist außerdem im Rahmen der Prüfung zu beurteilen, ob der Vorstand die ihm nach § 91 Abs. 2 des Aktiengesetzes obliegenden Maßnahmen in einer geeigneten Form getroffen hat und ob das danach einzurichtende Überwachungssystem seine Aufgaben erfüllen kann."
"993","HGB § 317 (4a)"," Soweit nichts anderes bestimmt ist, hat die Prüfung sich nicht darauf zu erstrecken, ob der Fortbestand der geprüften Kapitalgesellschaft oder die Wirksamkeit und Wirtschaftlichkeit der Geschäftsführung zugesichert werden kann."
"994","HGB § 317 (5)"," Bei der Durchführung einer Prüfung hat der Abschlussprüfer die internationalen Prüfungsstandards anzuwenden, die von der Europäischen Kommission in dem Verfahren nach Artikel 26 Absatz 3 der Richtlinie 2006/43/EG des Europäischen Parlaments und des Rates vom 17. Mai 2006 über Abschlussprüfungen von Jahresabschlüssen und konsolidierten Abschlüssen, zur Änderung der Richtlinien 78/660/EWG und 83/349/EWG des Rates und zur Aufhebung der Richtlinie 84/253/EWG des Rates (ABl. EU Nr. L 157 S. 87), die zuletzt durch die Richtlinie 2014/56/EU (ABl. L 158 vom 27.5.2014, S. 196) geändert worden ist, angenommen worden sind."
"995","HGB § 317 (6)"," Das Bundesministerium der Justiz wird ermächtigt, im Einvernehmen mit dem Bundesministerium für Wirtschaft und Klimaschutz durch Rechtsverordnung, die nicht der Zustimmung des Bundesrates bedarf, zusätzlich zu den bei der Durchführung der Abschlussprüfung nach Absatz 5 anzuwendenden internationalen Prüfungsstandards weitere Abschlussprüfungsanforderungen vorzuschreiben, wenn dies durch den Umfang der Abschlussprüfung bedingt ist und den in den Absätzen 1 bis 4 genannten Prüfungszielen dient.
"
"996","HGB § 318 ","§ 318Bestellung und Abberufung des Abschlußprüfers
"
"997","HGB § 318 (1)"," Der Abschlußprüfer des Jahresabschlusses wird von den Gesellschaftern gewählt; den Abschlußprüfer des Konzernabschlusses wählen die Gesellschafter des Mutterunternehmens. Bei Gesellschaften mit beschränkter Haftung und bei offenen Handelsgesellschaften und Kommanditgesellschaften im Sinne des § 264a Abs. 1 kann der Gesellschaftsvertrag etwas anderes bestimmen. Der Abschlußprüfer soll jeweils vor Ablauf des Geschäftsjahrs gewählt werden, auf das sich seine Prüfungstätigkeit erstreckt. Die gesetzlichen Vertreter, bei Zuständigkeit des Aufsichtsrats dieser, haben unverzüglich nach der Wahl den Prüfungsauftrag zu erteilen. Der Prüfungsauftrag kann nur widerrufen werden, wenn nach Absatz 3 ein anderer Prüfer bestellt worden ist."
"998","HGB § 318 (1a)"," Eine Vereinbarung, die die Wahlmöglichkeiten nach Absatz 1 auf bestimmte Kategorien oder Listen von Prüfern oder Prüfungsgesellschaften beschränkt, ist nichtig."
"999","HGB § 318 (2)"," Als Abschlußprüfer des Konzernabschlusses gilt, wenn kein anderer Prüfer bestellt wird, der Prüfer als bestellt, der für die Prüfung des in den Konzernabschluß einbezogenen Jahresabschlusses des Mutterunternehmens bestellt worden ist. Erfolgt die Einbeziehung auf Grund eines Zwischenabschlusses, so gilt, wenn kein anderer Prüfer bestellt wird, der Prüfer als bestellt, der für die Prüfung des letzten vor dem Konzernabschlußstichtag aufgestellten Jahresabschlusses des Mutterunternehmens bestellt worden ist."
"1000","HGB § 318 (3)"," Auf Antrag der gesetzlichen Vertreter, des Aufsichtsrats oder von Gesellschaftern, deren Anteile bei Antragstellung zusammen den zwanzigsten Teil der Stimmrechte oder des gezeichneten Kapitals oder einen Börsenwert von 500 000 Euro erreichen, hat das Gericht nach Anhörung der Beteiligten und des gewählten Prüfers einen anderen Abschlussprüfer zu bestellen, wenn 1.dies aus einem in der Person des gewählten Prüfers liegenden Grund geboten erscheint, insbesondere, wenn ein Ausschlussgrund nach § 319 Absatz 2 bis 5 oder nach § 319b besteht oder ein Verstoß gegen Artikel 5 Absatz 4 Unterabsatz 1 Satz 1 oder Absatz 5 Unterabsatz 2 Satz 2 der Verordnung (EU) Nr. 537/2014 vorliegt, oder2.die Vorschriften zur Bestellung des Prüfers nach Artikel 16 der Verordnung (EU) Nr. 537/2014 oder die Vorschriften zur Laufzeit des Prüfungsmandats nach Artikel 17 der Verordnung (EU) Nr. 537/2014 nicht eingehalten worden sind.Der Antrag ist binnen zwei Wochen nach dem Tag der Wahl des Abschlussprüfers zu stellen; Aktionäre können den Antrag nur stellen, wenn sie gegen die Wahl des Abschlussprüfers bei der Beschlussfassung Widerspruch erklärt haben. Wird ein Grund zur Bestellung eines anderen Abschlussprüfers als des gewählten Prüfers erst nach dessen Wahl bekannt oder tritt ein solcher Grund erst nach dessen Wahl ein, ist der Antrag binnen zwei Wochen nach dem Tag zu stellen, an dem der Antragsberechtigte Kenntnis von den antragsbegründenden Umständen erlangt hat oder ohne grobe Fahrlässigkeit hätte erlangen müssen. Stellen Aktionäre den Antrag, so haben sie glaubhaft zu machen, dass sie seit mindestens drei Monaten vor dem Tag der Wahl des Abschlussprüfers Inhaber der Aktien sind. Zur Glaubhaftmachung genügt eine eidesstattliche Versicherung vor einem Notar. Unterliegt die Gesellschaft einer staatlichen Aufsicht, so kann auch die Aufsichtsbehörde den Antrag stellen. Der Antrag kann nach Erteilung des Bestätigungsvermerks, im Fall einer Nachtragsprüfung nach § 316 Abs. 3 nach Ergänzung des Bestätigungsvermerks nicht mehr gestellt werden. Gegen die Entscheidung ist die Beschwerde zulässig."
"1001","HGB § 318 (4)"," Ist der Abschlußprüfer bis zum Ablauf des Geschäftsjahrs nicht gewählt worden, so hat das Gericht auf Antrag der gesetzlichen Vertreter, des Aufsichtsrats oder eines Gesellschafters den Abschlußprüfer zu bestellen. Gleiches gilt, wenn ein gewählter Abschlußprüfer die Annahme des Prüfungsauftrags abgelehnt hat, weggefallen ist oder am rechtzeitigen Abschluß der Prüfung verhindert ist und ein anderer Abschlußprüfer nicht gewählt worden ist. Die gesetzlichen Vertreter sind verpflichtet, den Antrag zu stellen. Gegen die Entscheidung des Gerichts findet die Beschwerde statt; die Bestellung des Abschlußprüfers ist unanfechtbar."
"1002","HGB § 318 (5)"," Der vom Gericht bestellte Abschlußprüfer hat Anspruch auf Ersatz angemessener barer Auslagen und auf Vergütung für seine Tätigkeit. Die Auslagen und die Vergütung setzt das Gericht fest. Gegen die Entscheidung findet die Beschwerde statt; die Rechtsbeschwerde ist ausgeschlossen. Aus der rechtskräftigen Entscheidung findet die Zwangsvollstreckung nach der Zivilprozeßordnung statt."
"1003","HGB § 318 (6)"," Ein von dem Abschlußprüfer angenommener Prüfungsauftrag kann von dem Abschlußprüfer nur aus wichtigem Grund gekündigt werden. Als wichtiger Grund ist es nicht anzusehen, wenn Meinungsverschiedenheiten über den Inhalt des Bestätigungsvermerks, seine Einschränkung oder Versagung bestehen. Die Kündigung ist schriftlich zu begründen. Der Abschlußprüfer hat über das Ergebnis seiner bisherigen Prüfung zu berichten; § 321 ist entsprechend anzuwenden."
"1004","HGB § 318 (7)"," Kündigt der Abschlußprüfer den Prüfungsauftrag nach Absatz 6, so haben die gesetzlichen Vertreter die Kündigung dem Aufsichtsrat, der nächsten Hauptversammlung oder bei Gesellschaften mit beschränkter Haftung den Gesellschaftern mitzuteilen. Den Bericht des bisherigen Abschlußprüfers haben die gesetzlichen Vertreter unverzüglich dem Aufsichtsrat vorzulegen. Jedes Aufsichtsratsmitglied hat das Recht, von dem Bericht Kenntnis zu nehmen. Der Bericht ist auch jedem Aufsichtsratsmitglied oder, soweit der Aufsichtsrat dies beschlossen hat, den Mitgliedern eines Ausschusses auszuhändigen. Ist der Prüfungsauftrag vom Aufsichtsrat erteilt worden, obliegen die Pflichten der gesetzlichen Vertreter dem Aufsichtsrat einschließlich der Unterrichtung der gesetzlichen Vertreter."
"1005","HGB § 318 (8)"," Die Wirtschaftsprüferkammer ist unverzüglich und schriftlich begründet durch den Abschlussprüfer und die gesetzlichen Vertreter der geprüften Gesellschaft von der Kündigung oder dem Widerruf des Prüfungsauftrages zu unterrichten.
"
"1006","HGB § 319 ","§ 319Auswahl der Abschlussprüfer und Ausschlussgründe
"
